sigma,NBBg_R,NBBg_a,NBBg_kD,NBBg_kE
0.4,3.053802559,0.003138396,1.091221581,1.956601358
0.4,2.942568036,0.003664154,1.543725074,3.449390291
0.4,2.231094548,0.003696828,1.209989377,3.338833755
0.4,3.246882136,0.003123143,2.416626828,2.760824734
0.4,2.569220177,0.004165284,0.652047246,5.800240471
0.4,2.837171448,0.003200554,1.724043703,2.821346142
0.4,2.747634785,0.003069505,3.786192179,3.997710833
0.4,2.37061586,0.002369856,1.265180687,3.504290089
0.4,3.265514962,0.00373515,1458.489419,2.551811778
0.4,2.238484013,0.001789665,3.621135224,2.397472581
0.4,2.453286783,0.002998191,1.60022755,4.280189755
0.4,2.204931757,0.003123925,0.866440312,5.742524875
0.4,2.279137395,0.002729124,0.87288753,3.507511497
0.4,2.953494049,0.003184462,50.0571299,2.716219382
0.4,2.469881332,0.002520706,12.20924747,2.578031707
0.4,2.716365983,0.002980444,0.561526549,5.387229072
0.4,2.494901802,0.003436295,1.57441429,2.534405774
0.4,3.288986218,0.003650958,6.178578581,1.919857997
0.4,2.612159657,0.003198581,0.583377074,5.079447897
0.4,3.195001122,0.004464747,1.146537772,3.573593894
0.4,2.607648159,0.003277998,1.324109872,2.605259456
0.4,2.335352926,0.003102942,0.98916257,6.457263225
0.4,2.952526936,0.003279908,9420.810801,2.408998616
0.4,2.124154367,0.002939323,0.377428004,7.195860577
0.4,2.446963325,0.002994232,3.814592541,2.20320501
0.4,2.201468118,0.003003153,0.801974024,5.908142604
0.4,2.520111712,0.003117789,0.870979285,3.369332153
0.4,2.69143989,0.002804472,2.016851139,3.868774251
0.4,2.735879516,0.002910661,3.17263215,2.217214618
0.4,2.42340367,0.002168942,2.641740397,1.955949221
0.4,2.117519071,0.002377451,0.768699174,2.663866237
0.4,2.923882766,0.003384735,1.531792274,3.704146764
0.4,2.815356714,0.003555688,0.493409569,8.722478378
0.4,3.150477921,0.00384171,0.72679269,2.62085039
0.4,2.614653167,0.002629673,1.233522524,1.938096569
0.4,2.441242541,0.002642237,1.407525478,2.755767019
0.4,2.947052326,0.00342587,1.402183566,3.505833133
0.4,2.414719618,0.003070748,0.798560527,5.404504679
0.4,3.173547076,0.003521934,6.379675801,2.382595366
0.4,3.079439959,0.003271972,2.83758001,3.306367507
0.4,2.981953929,0.003729267,0.688463819,7.376904433
0.4,2.675675169,0.003270262,0.475720038,4.174429154
0.05,2.921735215,0.004114668,4.463741205,25.29566571
0.1,2.764446141,0.004246572,1.109516863,19.73486258
0.15,3.0918016,0.003664555,0.730757778,12.18319232
0.2,2.406564829,0.003237951,0.818209396,9.992339071
0.25,3.155259153,0.003408725,1.593541916,8.49631167
0.3,2.169246914,0.002953477,1.18713083,3.433802875
0.35,3.193790021,0.003226547,1.024125239,2.575559532
0.4,2.568510405,0.003410105,23.05909996,2.433279908
0.05,2.83297203,0.003716925,0.515555352,39.40659761
0.1,2.456526953,0.003528883,1.370668638,16.29279915
0.15,2.221841864,0.00322962,1.179607027,19.8243375
0.2,2.611544459,0.003506153,0.797668321,9.082523696
0.25,2.643229433,0.003635153,0.621663549,11.91630614
0.3,2.873284398,0.003347886,1.167517935,3.914682625
0.35,2.554748075,0.003955695,0.569110876,7.018507537
0.4,2.501997118,0.00270199,1.269200301,5.750901539
0.05,2.478848865,0.003574547,1.431698724,30.24182409
0.1,2.330203634,0.003385378,1.108386679,15.60870752
0.15,2.719025305,0.003825995,0.972462928,17.93187788
0.2,2.614696627,0.003513133,2.142134228,13.29221151
0.25,2.402990085,0.003589582,1.575618964,7.708186462
